Date,Transect,Quadrat,TQcode,Species,"DAFOR (D, A, F, O or R)",Shrub cover N (0-5),Shrub cover E (0-5),Shrub cover S (0-5),Shrub cover W (0-5),Average shrub cover (0-5),Canopy LG (%),Canopy Overhead (%),Average Canopy Openness (%),Trampling (1=none/low; 2=medium; 3=high),Litter? (Y/N),Garden waste? (Y/N),Comments
05/07/2016,1,1,T1Q1,Enchanter's nightshade,O,4,4,3,0,2.75,44,4,24,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,1,T1Q1,Red campion ,R,4,4,3,0,2.75,44,4,24,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,1,T1Q1,Bluebell,R,4,4,3,0,2.75,44,4,24,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,1,T1Q1,Ivy,O,4,4,3,0,2.75,44,4,24,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,1,T1Q1,Herb robert ,O,4,4,3,0,2.75,44,4,24,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,1,T1Q1,Wood dock,R,4,4,3,0,2.75,44,4,24,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,1,T1Q1,Dog violet,R,4,4,3,0,2.75,44,4,24,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,1,T1Q1,Wood avens ,R,4,4,3,0,2.75,44,4,24,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,1,T1Q1,Sycamore tree,R,4,4,3,0,2.75,44,4,24,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,1,T1Q1,Bare Ground ,A,4,4,3,0,2.75,44,4,24,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,2,T1Q2,Enchanter's nightshade,O,4,2,4,3,3.25,24,4,14,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,2,T1Q2,Bluebell,R,4,2,4,3,3.25,24,4,14,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,2,T1Q2,Wood dock,R,4,2,4,3,3.25,24,4,14,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,2,T1Q2,Broad buckler fern ,R,4,2,4,3,3.25,24,4,14,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,2,T1Q2,Ivy,R,4,2,4,3,3.25,24,4,14,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,2,T1Q2,Bramble,R,4,2,4,3,3.25,24,4,14,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,2,T1Q2,Moss,R,4,2,4,3,3.25,24,4,14,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,2,T1Q2,Wood speedwell,R,4,2,4,3,3.25,24,4,14,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,2,T1Q2,Tree sapling ,R,4,2,4,3,3.25,24,4,14,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,2,T1Q2,Bare Ground ,D,4,2,4,3,3.25,24,4,14,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,3,T1Q3,Enchanter's nightshade,O,2,3,2,0,1.75,24,8,16,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,3,T1Q3,Wood dock,R,2,3,2,0,1.75,24,8,16,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,3,T1Q3,Ivy,R,2,3,2,0,1.75,24,8,16,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,3,T1Q3,Moss,R,2,3,2,0,1.75,24,8,16,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,3,T1Q3,Bluebell,R,2,3,2,0,1.75,24,8,16,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,3,T1Q3,Herb robert ,R,2,3,2,0,1.75,24,8,16,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,3,T1Q3,Wood speedwell,R,2,3,2,0,1.75,24,8,16,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,3,T1Q3,Tree sapling ,R,2,3,2,0,1.75,24,8,16,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,3,T1Q3,Bare Ground ,D,2,3,2,0,1.75,24,8,16,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,4,T1Q4,Ivy,R,3,1,5,1,2.5,40,4,22,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,4,T1Q4,Bluebell,O,3,1,5,1,2.5,40,4,22,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,4,T1Q4,Alder tree ,R,3,1,5,1,2.5,40,4,22,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,4,T1Q4,Bare Ground ,D,3,1,5,1,2.5,40,4,22,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,5,T1Q5,Moss,D,4,4,4,4,4,24,12,18,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,5,T1Q5,Ivy,R,4,4,4,4,4,24,12,18,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,5,T1Q5,Grasses,R,4,4,4,4,4,24,12,18,NOT RECORDED,NOT RECORDED,NOT RECORDED,
